id,imdb_id,poster_path,title,movie_title,tag
381418 ,tt5255710,/8EAl2jQV2BwepW7IKamLzmH6zzu.jpg,sanam teri kasam,Sanam Teri Kasam,"sanam teri kasam, drama romanc,a music romant movi explor the journey that ensu when the blue blood boy inder, ""who want to love no one"" cross path with saru, ""whom no one want to love"". all their live they were wait to meet, but they just didn't know it . a music tale of love , long and loss. sanam teri kasam - a love stori seal with a curse., none, loss"
296865 ,tt4569240,/pvvgiIIiunCHhwDGsTsiI5zn2Ep.jpg,a monster with a thousand head,A Monster with a Thousand Heads,"a monster with a thousand head, drama thriller,when sonia receiv the news that her husband’ cancer ha progress to a critic stage, she race to secur the insur company’ approv for the care that can help him. met with indiffer and neglig at everi turn, sonia’ desper trigger a primal surviv instinct as a seri of increasingli violent confront unfold. a sharp, urgent tale of a distraught woman intent on protect her famili at all costs, rodrigo plá’ latest film is an engross combin of thriller, drama and time socio-polit commentary. ., none, insurancecompani"
394051 ,tt5639650,/cDYY91V7V4UJR8uSpXtTucZeDxU.jpg,phantom of the theatr,Phantom of the Theatre,"phantom of the theatr, drama horror mysteri,a haunt theatre, fill with the veng spirit of a tragically-trap perform troup murder in a fire 13 year ago, wait for the once-grand palati playhous to re-open with a new show - and bring in new victims., none, shanghai movieinmovi director theater actress acrobat"
379887 ,tt5358570,/uwFaHncIf5PWlroYE6Z3Momt87X.jpg,like for like,Like for Likes,"like for like, romanc comedi,a notori shrewish tv drama writer and a korean wave star who fight like cat and dog everi time they meet; a spinster flight attend landladi and a nosi chef tenant who build a sens of camaraderie; a geniu relationship-virgin compos who harbor a secret admir for a scatterbrain producer. as they crash-land into each other' lives, will there be love?, none, koreanmovi"
382399 ,tt3451230,/DcCvi92OHAkgVlm61OFvT3vwU4.jpg,high strung,High Strung,"high strung, drama music romanc,when a hip hop violinist busk in the new york subway encount a classic dancer on scholarship at the manhattan conservatori of the arts, spark fly. with the help of a hip hop danc crew they must find a common ground while prepar for a competit that could chang their live forever., see the music. hear the dance., danc violin ballet leotard"
385962 ,tt5597408,/l1vaTXxvVvQ6zvK1sIYkjU9S8zd.jpg,time renegad,Time Renegades,"time renegad, thriller romanc,in 1983, high school teacher ji-hwan is attack by a pickpocket. in 2015, homicid detect gun-woo is shot dure a chase and lose consciousness. both men are taken to the same hospit in differ time periods, and both their heart stop and miracul start again at the same time. a mysteri forc bind them together, allow them to see through each other’ live in their dreams. soon realiz that the women they love strikingli resembl each other and that they are in fatal danger, the two men must team up to trace the past and chang her destiny., sinc that day, their dream becam a window connect two world, koreanmovi"
394170 ,tt5644726,/v469Bb29ih73X1bPLn61bPUaGOj.jpg,phantom detect,Phantom Detective,"phantom detect, action drama,hong gildong is an infal privat detect with an except memori and quirki personality. while chase the onli target he fail to find, he get entangl in a much bigger conspiraci than he bargain for., it take a bad guy to catch a bad guy, koreanmovi"
391629 ,tt4864932,/f4IItQZZ09n7s8cYX87FgaG1mr2.jpg,baaghi,Baaghi,"baaghi, action romanc thriller,baaghi is the stori of ronny, a rebelli 23-year-old from delhi. fear hi unruli and angri tempera hi father send him to a disciplinari academi set in a sleepi town in kerala. while travel to the academi he meet siya who also carri a rebelli streak but nonetheless spark fli between them. after hi enrollment, ronni encount the star student raghav and thing get awri between them when raghav fall for siya as well. year later ronni is inform that siya is abduct and is call upon for help to rescu her from the gritti underbelli of thailand. lost in the midst of a new citi ronni come face to face with hi nemesis, raghav. they both still love siya uncondit and are in a battl to win her heart. but there will be onli one person who will. who will it be the rebelli ronni or the furiou raghav?, a rebel for love, rebel martialart kidnap kalaripayattu"
317930 ,tt3367294,/t3KPvEzvq7Z6dEdsOHvipRBKZA6.jpg,compadr,Compadres,"compadr, action comedi,a disgruntl mexican cop is forc to work with a teenag hacker to hunt down the crimin who kill hi wife, and dismantl their operation., none, "
373200 ,tt5290882,/5UJNud7Ckte3CKk6YvhGV0NRldY.jpg,detect chinatown,Detective Chinatown,"detect chinatown, drama action adventur,after be reject from the polic college, a mannerli man travel to bangkok where he and an energet distant rel must solv a murder case., none, "
393441 ,tt3679060,/cFh8RSlqfSiYs4e0h0iV5oAbCDl.jpg,dishoom,Dishoom,"dishoom, comedi action,when india' top batsman viraj sharma goe miss in middl east, two cop kabir shergil and junaid ansari from either side of arabian sea must team up for a 36-hour man-hunt befor the final match between india and pakistan., none, "
400247 ,tt5815940,/5VdRsg1jXawBfV7Bb08C6qcN9i2.jpg,gentleman,Gentleman,"gentleman, romanc thriller,two girls, catherin and aishwarya, meet on a flight and becom friends. they share stori about their respect boyfriends, and catherin is shock to find that the man she is date is a lookalik of aishwarya' boyfriend. even more shock is the fact that when she reach home, she find out that her boyfriend ha die in a car crash. catherin decid to investig the lookalik boyfriend and uncov a thrill mystery., none, "
347126 ,tt4824308,/6LzF5RneIAj5dkUVuJeXPDmnLRh.jpg,god' not dead 2,God's Not Dead 2,"god' not dead 2, drama,when a high school teacher is ask a question in class about jesus, her reason respons land her in deep troubl and could expel god from the public squar onc and for all., none, christian"
391779 ,tt4559046,/6Udose5F7a9SdNf8HlNMovtDMM9.jpg,houseful 3,Housefull 3,"houseful 3, comedi romanc,a father doesn't want hi three daughter to get married. now, it' up to three men to tri to and convinc the father that they'r a good fit for hi daughters., none, "
366080 ,tt5071886,/ePHlptlWL3n47sTazsUk1YC94B0.jpg,kabali,Kabali,"kabali, action crime drama,kabali is a 2016 indian tamil-languag gangster-drama film written and direct by pa. ranjith and produc by kalaipuli s. thanu.] the film revolv around the gang war between kabaleeswaran (play by rajinikanth) and toni lee (portray by winston chao). radhika apte, dhansika, dinesh ravi, kalaiyarasan, and john vijay also star in pivot roles., none, opress malaysia rivalri gangster tamil"
390437 ,tt4744086,/iLWsVkdjm1hmvgUS11EWwD9Pagk.jpg,ki and ka,Ki and Ka,"ki and ka, comedi romanc,ki and ka (english: her and his) is an indian romant drama film written, directed, and produc by r. balki. the film follow a young, marri coupl contradict the gender role place upon women and men in indian society. it star kareena kapoor and arjun kapoor., strile pull sameth, marri"
406429 ,tt5481184,/1ZmR8sNDVw3goJurVPAoPaJXFNW.jpg,leagu of god,League of Gods,"leagu of god, action fantasi,dure the reign of king zhou (toni leung ka-fai), an offici enter hi bedchamber, and is devour by the monstrou tail of daji (fan bingbing), hi concubine. outsid their city, sever warrior within a metal wagon discuss their strategi to free the invis peopl and their chief, when jiang ziya (jet li) appear to them. he tell them that when king zhou wa younger, he let himself becom possess by the black dragon for hi quest for power., none, superhero chines superpow imaginarykingdom chinesemytholog"
402672 ,tt3859980,/q2XVemXiWSa18mbaVpI3rbLXG2u.jpg,mohenjo daro,Mohenjo Daro,"mohenjo daro, adventur drama histori romanc,villag lad sarman is drawn to big, bad mohenjo daro - and it mascot chaani. but chaani must wed munja, son of mohenjo daro' ruler, maham. will sarman find love - and more - in mohenjo daro?, none, bollywood"
407887 ,tt4939066,/2qLiLE4XbNk3UrAmYaQfZMZ5INJ.jpg,oper chromit,Operation Chromite,"oper chromit, histori drama war action,a squad of soldier fight in the korean war' crucial battl of incheon., the odd were 5000 to 1 … one wa all they needed., korea fictionalizedhistori operation""trudyjackson"" generaldouglasmacarthur operationx-ray incheon"
358505 ,tt4937156,/l6CNWKEsFbSV8B0fjYzIG7E78T2.jpg,our last tango,Our Last Tango,"our last tango, documentari,maría niev rego (80) and juan carlo cope (83) met when they were 14 and 17, and they danc togeth for nearli fifti years. in all those year they love and hate each other and went through sever pain separations. now, at the end of their lives, the two dancer are will to open up about their love, their hatred, and their passion. in ""our last tango"" juan and maría tell their stori to a group of young tango dancer and choreograph from bueno aires, who transform the most beautiful, move and dramat moment of the live into incred tango-choreographies. these beautifully-shot perform compliment the soul-search interview and documentari moment of the film to make thi an unforgett journey into the heart of the tango., divid by life, unit by tango., "
384641 ,tt5503266,/dahKBh5EJK8ySu0e3XGkjTVcvxx.jpg,spirits' homecom,Spirits' Homecoming,"spirits' homecom, drama histori,two korean girls, jung-min (14) and young-he (15) are kidnap by the japanes imperi armi and taken to a 'comfort station' in china. there, they join other kidnap girl in serv japanes soldier as sexual slave known as 'comfort women'. decad later, an elderli ladi attempt to reunit with the spirit of her lost friend. inspir by the testimoni of kang il-chul., trampl souls, seek their way home, final return, worldwarii koreanmovi 'comfortwomen'"
384573 ,tt5519566,/25DfMrqpFjxgudfLGSiAoyYr4UI.jpg,the first monday in may,The First Monday in May,"the first monday in may, documentari,the first monday in may follow the creation of the metropolitan museum of art' most attend fashion exhibit in history, ""china: through the look glass,"" an explor of chinese-inspir western fashion by costum institut curat andrew bolton. with unpreced access, filmmak andrew rossi captur the collis of high fashion and celebr at the met gala, one of the biggest global fashion event chair everi year by vogu editor in chief anna wintour. featur a cast of renown artist in mani field (includ filmmak wong kar wai and fashion design karl lagerfeld, jean paul gaultier and john galliano) as well as a host of contemporari pop icon like rihanna, the movi dive into the debat about whether fashion should be view as art., none, themetgala themetropolitanmuseumofart"
378195 ,tt4305154,/uZ1f1gklTsqBidm6PB4Sw0AignA.jpg,ladi day at emerson' bar & grill,Lady Day at Emerson's Bar & Grill,"ladi day at emerson' bar & grill, drama music,it' 1959 in a seedi bar in philadelphia, and billi holiday is give one of her last perform interlac with salty, often humorous, reminisc to project a rivet portrait of the ladi and her music 4 month befor her death., none, "
